Name,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,PlayerId_x,MLBAMID_x,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,PlayerId_y,MLBAMID_y,Years_Contributed
Evan Longoria,148.44444444444446,631.1111111111111,24.444444444444443,76.0,84.66666666666667,4.333333333333333,0.08485909733333334,0.19548423222222222,0.19689301744444443,0.2917777991111111,0.26249556811111113,0.3285846653333333,0.4593885855555555,0.3360453732317207,0.3344,113.93897458189177,0.603897727223941,11.369011306439322,6.0083151658376055,3.976341740288586,9368.0,446334.0,1.3300984038247003,-10.90916919708252,12.239267667134603,14.18066660563151,1.48793625831604,1.016777879661984,2.225287526845932,2.0,1.638250923405091,-0.31588863476016354,9368.0,446334.0,9
Fernando Tatis Jr.,135.5,590.5,33.5,95.0,87.5,27.0,0.0985088395,0.251133512,0.2598781155,0.31129275,0.269909041,0.3431177125,0.5297871565,0.36720821929181313,0.38549999999999995,134.66252311728869,4.357319029280916,28.98320139121424,5.566202320158482,5.4530933492976965,19709.0,665487.0,2.777468681335449,-9.770224571228027,12.547693729400635,32.03965187072754,3.302728056907654,0.9869406521320343,3.7171499729156494,2.5,3.146713972091675,-0.38319513026876756,19709.0,665487.0,2
Francisco Cervelli,130.0,510.0,7.0,56.0,43.0,1.0,0.090196078,0.184313725,0.106430155,0.358974358,0.294900221,0.369565217,0.401330376,0.3406795669310163,0.325,117.12607554731042,-0.7999429269693792,9.37736345408744,30.569872856140137,5.912282735215088,5275.0,465041.0,1.1188623905181885,-8.207438468933105,9.326299667358398,6.960999965667725,0.8131697177886963,1.0360525846481323,2.188640117645264,5.0,1.0639283657073977,0.0159998223953139,5275.0,465041.0,1
Francisco Lindor,152.0,676.5,28.5,101.75,86.5,20.875,0.08777756425,0.163261396375,0.2056866345,0.28618562075,0.270428695,0.340451654875,0.4761153295,0.3472195574089999,0.35075,119.89182659100689,1.8028762280300725,18.65361593831792,18.00805538892746,6.0535638706819785,12916.0,596019.0,1.9924300080165267,-10.913423776626587,12.905853986740112,21.28665018081665,2.2107763551175594,0.9682050496339798,2.3628533124923705,1.0,1.904599815607071,0.2079260024670822,12916.0,596019.0,8
Freddie Freeman,152.83333333333334,664.0833333333334,25.916666666666668,98.5,92.66666666666667,7.75,0.114056347,0.18759867241666664,0.211037744,0.34117104966666667,0.3000440561666667,0.38615607058333334,0.5110818001666667,0.3810097292606971,0.398125,141.07943016507593,-0.2199594784566823,33.04268470067684,-9.710315212607384,4.5849223383203075,5361.0,518692.0,3.2894198497136435,-10.108376701672872,13.397796869277954,41.84591690699259,4.341479549805324,0.9687621941169103,1.6628999948501586,0.5,3.8863474130630493,-0.4708682989961484,5361.0,518692.0,12
Gary Sánchez,122.0,525.0,33.0,79.0,90.0,2.0,0.076190476,0.228571428,0.252653928,0.304347826,0.278131634,0.344761904,0.530785562,0.3675815188930235,0.385,130.99810793942743,-3.3388878130353987,16.739986123942714,7.226086378097534,4.109705083016405,11442.0,596142.0,1.8471481800079343,-9.14427375793457,10.991421699523926,21.586000442504883,2.147125720977783,0.9986788630485536,1.0438666343688965,3.0,2.167034149169922,-0.3174424051638904,11442.0,596142.0,1
Giancarlo Stanton,144.5,619.8333333333334,37.833333333333336,86.5,97.16666666666667,4.333333333333333,0.12359413383333333,0.271073143,0.26821271383333334,0.3209359611666667,0.2697279276666667,0.3648634295,0.5379406415,0.38201228287067773,0.37033333333333335,143.82071258349345,-1.593142352377375,30.955357714953717,-7.708670377731323,4.5235743077074835,4949.0,519317.0,3.2253621220588684,-10.651525497436523,13.876887957255045,31.16416645050049,3.343164106210073,1.04429292678833,2.298172926902771,3.6666666666666665,3.9995883305867515,-0.923241471529782,4949.0,519317.0,6
Gunnar Henderson,154.5,670.5,32.5,109.0,87.0,15.5,0.0992580795,0.2383837405,0.24077381,0.31274288299999997,0.268154761,0.34457691749999997,0.508928571,0.3636080314269615,0.3625,138.88136117517587,4.884068543789908,35.98045629938871,4.004132702946663,6.385778540464579,26289.0,683002.0,2.2150877714157104,-9.919349193572998,12.13443660736084,26.878299713134766,2.8980811834335327,0.8870939612388611,1.3589999675750732,3.0,2.554134428501129,-0.04815694872337205,26289.0,683002.0,2
Ha-Seong Kim,151.0,604.0,14.0,71.0,59.5,25.0,0.1037185855,0.18495218600000002,0.1345372575,0.2981070255,0.255836862,0.337872226,0.3903741195,0.3215160977488255,0.311,107.72208820274932,2.855106599163264,8.596499714902611,9.38858699798584,3.9438920495268364,27506.0,673490.0,-0.10710650682449341,-9.654478073120117,9.54737138748169,6.272049903869629,0.5374508053064346,0.9213912785053253,1.3992916345596313,3.5,0.6641010318417102,-0.7734067647815115,27506.0,673490.0,2
Ian Kinsler,147.875,661.875,19.5,97.25,71.125,16.875,0.077848876625,0.121782079875,0.16404832525,0.27750952087499997,0.2654908245,0.329492930875,0.42953914975,0.3306337894237895,0.3165,105.31872158024974,3.2767043767671566,7.955492242786152,6.953672029078007,3.8615985389469936,6195.0,435079.0,0.18627673387527469,-11.343906432390213,11.530183494091034,3.951674848794937,0.3868587724864483,0.9581945636031921,1.9857777853806813,1.375,0.5415167082101107,-0.362660565950242,6195.0,435079.0,8
Isaac Paredes,148.0,606.0,25.0,67.5,89.0,1.0,0.11007046200000001,0.172971577,0.1963932135,0.258208601,0.24400369,0.3491739315,0.4403969035,0.3448394282470934,0.3115,126.31237662107428,-1.3479261263273656,16.991567916743776,0.27832750603556633,3.823577583595733,20036.0,670623.0,1.1363356336951256,-10.199577927589417,11.335914015769958,19.854501098394394,2.101943127810955,0.9894067650626166,2.2914300449192524,4.5,1.7150791138410568,-0.5611304087167378,20036.0,670623.0,2
J.T. Realmuto,136.57142857142858,555.2857142857143,19.0,71.85714285714286,70.0,11.714285714285714,0.06877276985714285,0.21105143771428572,0.18613555685714284,0.320742318,0.274643492,0.33391186942857143,0.4607790488571428,0.33881064960900487,0.3352857142857143,112.97429997054938,2.6162432383280247,11.362056113433207,13.85860448224204,4.39693999319223,11739.0,592663.0,0.39021602485861095,-9.910263470241002,10.300479207720075,9.723999636513847,0.9901742424283709,1.0123791950089591,1.9896389756883894,7.714285714285714,1.1680290699005127,-0.7508435801295718,11739.0,592663.0,7
Jackson Chourio,148.0,573.0,21.0,80.0,79.0,22.0,0.068062827,0.211169284,0.189393939,0.319587628,0.274621212,0.326923076,0.464015151,0.3385496990571559,0.33,117.16160785662412,3.954801239073277,15.713895737352692,3.09812068939209,3.9135535413975946,28806.0,694192.0,2.540360450744629,-9.602519035339355,12.142879486083984,22.269800186157227,2.293180227279663,0.9738829731941224,1.4038333892822266,6.0,1.4828168153762815,1.1256695435265796,28806.0,694192.0,1
Jackson Merrill,156.0,593.0,24.0,77.0,90.0,16.0,0.048903878,0.170320404,0.207581228,0.31797235,0.292418772,0.32597623,0.5,0.351507786788097,0.376,129.9322099362613,3.729309692978859,24.95465480375193,6.497332572937012,5.287766076171051,29490.0,701538.0,2.4390411376953125,-9.291324615478516,11.730364799499512,15.96720027923584,1.6145719289779663,0.9293684363365172,0.6958400011062622,5.0,2.6485824584960938,-0.0241753425090451,29490.0,701538.0,1
Jacoby Ellsbury,147.25,657.25,16.5,88.25,71.0,37.5,0.077091239,0.139793966,0.154271622,0.31711167825,0.28844198725000003,0.3471522595,0.44271360925000003,0.34459719575666564,0.307,115.17927332919712,6.479859042796306,18.933886766533615,5.013355121016502,4.840332502505541,4727.0,453056.0,2.964095786213875,-10.572180986404419,13.536277055740356,23.365299880504608,2.3806235790252686,1.0063458681106567,1.6683499813079834,2.75,1.5799685418605804,1.3820885978802615,4727.0,453056.0,4
James Outman,151.0,567.0,23.0,86.0,70.0,16.0,0.119929453,0.319223985,0.188405798,0.342756183,0.248447204,0.352733686,0.436853002,0.3443045728830061,0.325,118.06143307005412,3.43088509561494,16.11773269306744,4.460671305656433,3.973063695620109,24770.0,681546.0,1.1952500343322754,-8.849703788757324,10.044954299926758,11.799699783325195,1.203856110572815,0.9146347045898438,1.5486249923706057,8.0,0.6302467584609985,0.6765591481312623,24770.0,681546.0,1
Jarren Duran,160.0,735.0,21.0,111.0,75.0,34.0,0.073469387,0.217687074,0.207153502,0.344827586,0.284649776,0.341961852,0.491803278,0.3568673902286514,0.346,129.02292667113866,8.364949248731136,32.7730592004383,7.921176195144653,6.7332789694996205,24617.0,680776.0,2.2944107055664062,-11.65599536895752,13.950406074523926,22.192100524902344,2.248775005340576,0.9175696969032288,,0.0,3.124623537063598,-0.6240933720963202,24617.0,680776.0,1
